"id1","teilplan","kategorie","unterkategorie","stand","beschriftung","bemerkungen","oeffentlicheauflage_behoerde","oeffentlicheauflage_datum","oeffentlicheauflage_nummer","festsetzung_behoerde","festsetzung_behoerde_gewalt","festsetzung_datum","festsetzung_nummer","genehmigung_behoerde","genehmigung_datum","genehmigung_nummer","rechtsstatus","objectid","geometry"
"837","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","679","LINESTRING (2679164.2 1248213.6,2679147.8 1248161.5,2679115.5 1248058.4,2679095.8 1248027.5,2679055 1247968.6,2679003.5 1247907.5)"
"857","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","699","LINESTRING (2679016.5 1248768.5,2679026.2 1248764.5,2679180.5 1248696.2)"
"872","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","714","LINESTRING (2678844 1247572.5,2678844 1247572.5,2678856.2 1247582.1,2678990.5 1247698.2)"
"778","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","752","LINESTRING (2678616 1248156.6,2678643 1248143.9,2678662.2 1248127,2678691 1248088.4,2678710.8 1248062.1,2678722.8 1248034.1,2678724.2 1248030.2)"
"779","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","753","LINESTRING (2678002.2 1249060,2677839 1248937.4,2677812.5 1248903.6,2677730.2 1248849.2,2677706.8 1248828.6,2677684 1248783.5,2677653.5 1248761.8,2677654.5 1248760.1)"
"780","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","754","LINESTRING (2678661.5 1249151.4,2678531.2 1248985,2678527.8 1248972.4,2678526.8 1248965)"
"781","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","755","LINESTRING (2678607.2 1249196.6,2678628.5 1249180.8,2678661.5 1249151.4,2678694.8 1249126.5,2678746 1249097.6,2678809.2 1249070.4)"
"782","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","756","LINESTRING (2677863 1249202,2677886 1249218.1,2677917 1249227,2677949.2 1249218.1,2678027.2 1249184.4,2678065.2 1249167.5)"
"1007","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","882","LINESTRING (2678281.8 1248625.4,2678250.5 1248579.8,2678243.2 1248567.4,2678227.5 1248543.6,2678213.5 1248524.1,2678205 1248514.9,2678191.8 1248500.4,2678159.5 1248464.2,2678129 1248432.5)"
"1008","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Salzweg_Dachslernstrasse_Hermetschloobruecke_Baendlistrasse_Limmatufer ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","883","LINESTRING (2678063.8 1249168.2,2678063.8 1249168.2,2678069.8 1249202,2678080.5 1249234)"
"1009","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","884","LINESTRING (2678266 1249133.4,2678240.5 1249151.6,2678218.2 1249168.6,2678186.2 1249184.5,2678153.5 1249194.1,2678123.8 1249205.8,2678109.8 1249214.2,2678080.5 1249234.1)"
"1010","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","885","LINESTRING (2678266 1249133.4,2678297.5 1249116.4,2678323.5 1249112.1,2678341.5 1249092,2678367.2 1249082.5,2678392.2 1249092,2678419 1249087.9,2678425.2 1249082.8)"
"1011","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","886","LINESTRING (2678489.8 1248030.8,2678495.8 1248031.4,2678587.8 1248108.6,2678597.2 1248135.4,2678617.8 1248155.8)"
"1012","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","887","LINESTRING (2678927 1248207.5,2679037.2 1248224.4)"
"1013","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","888","LINESTRING (2678617.8 1248155.8,2678666 1248189,2678665.8 1248189.2)"
"1014","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","889","LINESTRING (2678665.8 1248189.2,2678694.8 1248207.4,2678698.5 1248238.5,2678717.8 1248218.6,2678773.2 1248160.1)"
"1015","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","geplant","B52","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","890","LINESTRING (2678773.2 1248160.1,2678896.5 1248208.9)"
"1016","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","891","LINESTRING (2678584.2 1249054,2678547.8 1249066.6,2678518 1249074.6,2678457.2 1249097.4,2678440 1249100.8)"
"1017","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","geplant","B50","Verbindung_Altstaetterstrasse_Malojaweg ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","892","MULTILINESTRING ((2678880.2 1248943.8,2678771.8 1248978.4),(2678874 1248945.6,2679010 1248901.4,2679026.2 1248899,2679040.2 1248894.2,2679057 1248883))"
"1018","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","893","LINESTRING (2678584.2 1249054,2678608.8 1249033.5,2678631 1249035,2678655.8 1249022.4,2678677 1249032.6,2678771.8 1248978.4)"
"1019","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Altstetterstrasse - Gleisunterquerung - Max Höggerstrasse - Meierwiesenstrasse - Werdwehr ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","894","LINESTRING (2679221.2 1249588.2,2679202 1249534.2,2679234 1249524.1)"
"1020","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Altstetterstrasse - Gleisunterquerung - Max Höggerstrasse - Meierwiesenstrasse - Werdwehr ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","895","LINESTRING (2679234 1249524.1,2679226.2 1249504.5,2679207.5 1249460,2679179 1249422.5,2679179 1249380.6,2679141 1249299.1,2679135.5 1249276,2679135.8 1249218.4,2679138.5 1249179.1,2679137 1249131.5,2679130.8 1249078.8,2679133.5 1249058.1,2679057 1248883)"
"1021","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","geplant","B50","Bachwiesen_E_Huberstrasse_Altstetterstrasse ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","896","LINESTRING (2679057 1248883,2679065 1248872.9,2679131.8 1248810.9,2679164.2 1248761.8,2679192.2 1248749)"
"1022","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Bachwiesen_E_Huberstrasse_Altstetterstrasse ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","897","LINESTRING (2679192.2 1248749,2679241.8 1248725.9)"
"1023","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Bachwiesen_E_Huberstrasse_Altstetterstrasse ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","898","LINESTRING (2679241.8 1248725.9,2679220 1248660.8,2679207.2 1248609.6,2679196 1248570.4,2679180.2 1248537.4,2679166.2 1248515.5,2679157 1248501.6)"
"1024","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","899","LINESTRING (2679157 1248501.6,2679160 1248482.9,2679141.2 1248428.8,2679115.8 1248376.5,2679084 1248324.9,2679084 1248279.6,2679056.8 1248258.5,2679037.2 1248224.4)"
"1043","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","geplant","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","918","LINESTRING (2678996 1249354.9,2679053.8 1249332.2)"
"1048","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","923","LINESTRING (2679096 1248025.4,2679119.5 1247998.5,2679145.5 1247966.1,2679161 1247934.4,2679178.5 1247890.6,2679190 1247858)"
"1052","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Salzweg  Dachslernstrasse  Hermetschloobrücke  Bändli-strasse - Limmatufer ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","927","LINESTRING (2678063.8 1249168.2,2678033 1249128.6,2678006.8 1249092.1,2677994 1249070.2,2678002.8 1249060.8,2677992 1249051.8,2677944.8 1249017.5,2677920.5 1248998.8,2677894 1248978.6,2677874 1248965.4,2677858 1248951.6,2677852.8 1248947.9,2677844.8 1248942.1,2677831.8 1248928.1,2677821 1248911.5,2677804.8 1248897.2,2677776.2 1248879.4,2677735.2 1248853.1)"
"1054","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","929","LINESTRING (2678659.2 1249328.2,2678655.2 1249324.6,2678641 1249298.5,2678631 1249280.1,2678626.8 1249261.1,2678614.5 1249217.4,2678609 1249197.2)"
"1055","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","930","LINESTRING (2677845.2 1249502.1,2677861.2 1249496.9,2677869.8 1249491.8,2677875.2 1249484.2,2677880.5 1249466,2677885.2 1249456.5,2677894 1249447.4,2677904 1249441.8,2677913.2 1249441.6,2677922.2 1249430.2,2677936.5 1249414.4,2677965.5 1249381,2677993.2 1249353.6,2678015.2 1249338.5,2678043.2 1249320.2,2678063 1249304.4,2678071.5 1249293.9,2678079.2 1249275)"
"932","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","980","LINESTRING (2677464.5 1249850.1,2677477.8 1249819.1,2677526.5 1249762.6,2677562 1249725,2677601.8 1249708.5,2677643.5 1249683.5,2677655 1249668.8,2677661.8 1249652.1,2677671 1249618.9,2677670 1249579.5,2677663.8 1249538.1,2677657.5 1249512.4,2677653 1249486.6,2677648.8 1249465.9,2677649.8 1249437.1,2677659 1249410,2677669 1249389.8,2677673 1249367.5)"
"934","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","982","LINESTRING (2678993.8 1249355.5,2678881.8 1249400.6,2678867 1249399.1,2678784.5 1249432.6)"
"955","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1003","LINESTRING (2679139.2 1249291.8,2679056.2 1249329.8)"
"956","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","geplant","B21","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1004","LINESTRING (2679349.8 1249472.9,2679124.5 1249535.4,2679070 1249549.5,2679021.5 1249559.6,2678944.8 1249557.6,2678863.8 1249543.5)"
"1003","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Grihaldenstrasse ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1051","LINESTRING (2678557 1249243.9,2678428.2 1249086.4,2678381.8 1249030.5,2678368 1249014.2,2678268.5 1248810.8)"
"1004","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1052","LINESTRING (2678609 1249197.2,2678557 1249243.9)"
"1005","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1053","LINESTRING (2678225.8 1248700.1,2678229.8 1248723.6,2678256.8 1248773.9,2678263.8 1248806.1,2678268.5 1248810.8)"
"1006","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1054","LINESTRING (2678225.8 1248700.1,2678226.2 1248687.2,2678231.8 1248677.8,2678237 1248670.6,2678252 1248651.5,2678269.8 1248633.2,2678281.8 1248625.4)"
"1270","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1133","LINESTRING (2679373 1247509.1,2679360 1247512.2,2679303 1247442.1,2679303.8 1247415.5,2679231.2 1247335.6,2679268.8 1247292.9,2679192 1247207,2679180.5 1247198.5,2679130.2 1247147.1,2679095.8 1247115.4)"
"1191","Fuss","Fussverbindung mit erhöhter Aufenthaltsqualität","","bestehend","","Salzweg_Dachslernstrasse_Hermetschloobruecke_Baendlistrasse_Limmatufer ","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","1167","LINESTRING (2678173.2 1249671.1,2678173.5 1249671.5,2678059 1249731.5)"
