elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,manual_cluster,transformed_values,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y,c_ward_5,GIS_Group
401.600000000000023,2024-04-06T08:07:49Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,4.491454633514333,1,4.491454633514333,16.169236680651601,2.864082598112190,10.257914375051984,11.786162339982310,16.169236680651601,-0.142224523740044,0.027722723053013,2.864082598112190,0.000000000000000,28.835788712028538,31.432681983500910,1.090057993467996,3,3,3,1,"c(2680087.49982801, 1250203.98948684)",1,1,1,2680087.499828013125807,1250203.989486836828291,1,running
401.600000000000023,2024-04-06T08:07:50Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,1.748907831786166,1,1.748907831786166,6.296068194430197,-2.742546801728167,10.942344652432311,11.798785789097536,16.169236680651601,0.251985390794392,0.014662654008667,2.864082598112190,0.000000000000000,27.577200724965529,31.996380997969474,1.160247601526984,3,3,2,3,"c(2680091.89152536, 1250203.0481266)",2,1,1,2680091.891525364480913,1250203.048126598121598,2,running
401.600000000000023,2024-04-06T08:07:51Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.002238872314010,1,3.002238872314010,10.808059940330436,1.253331040527844,11.124553153324110,11.833522500262461,16.169236680651601,0.112479341769801,0.020805226800249,2.864082598112190,0.000000000000000,27.801007110827307,32.179158480365679,1.157481754243114,3,3,3,1,"c(2680093.33928184, 1250202.06696413)",1,1,1,2680093.339281837921590,1250202.066964125493541,1,running
401.600000000000023,2024-04-06T08:07:52Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.494149464935789,1,3.494149464935789,12.578938073768839,0.491910592621779,10.376445063133833,11.743419073093914,16.169236680651601,-0.145941933530775,-0.013872589403493,2.864082598112190,0.000000000000000,28.433821394376537,30.344755234978749,1.067206367167381,3,3,3,4,"c(2680095.25799137, 1250199.75785347)",1,1,1,2680095.257991365157068,1250199.757853474933654,1,running
401.600000000000023,2024-04-06T08:07:53Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,4.290658980404945,1,4.290658980404945,15.446372329457803,0.796509515469157,10.606665213991318,11.719397693071169,16.169236680651601,0.125815911204714,0.004483534803674,2.864082598112190,0.000000000000000,26.209177272742799,30.781882785126886,1.174469631946045,3,3,3,1,"c(2680097.25970427, 1250196.89390063)",1,1,1,2680097.259704272728413,1250196.893900626339018,1,running
401.600000000000023,2024-04-06T08:07:54Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,1.656270193017526,1,1.656270193017526,5.962572694863093,-2.634388787387420,10.422676464708927,11.700066787565593,16.169236680651601,-0.051107985911776,0.005786444391777,2.864082598112190,0.000000000000000,25.716273483397359,27.355612341985161,1.063747138933103,3,3,2,3,"c(2680100.46919194, 1250194.04627997)",2,1,1,2680100.469191936776042,1250194.046279966831207,2,running
401.600000000000023,2024-04-06T08:07:55Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.629632045444404,1,3.629632045444404,13.066675363599854,1.973361852426878,10.080802790663558,11.724419918562825,15.446372329457803,-0.094964909457047,0.017920898975890,2.537853706340357,0.000000000000000,25.038327805166176,29.053545139685816,1.160362839154585,3,3,3,1,"c(2680101.46854705, 1250192.72547706)",1,1,1,2680101.468547045718879,1250192.725477060070261,1,running
401.699999999999989,2024-04-06T08:07:56Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.622681228145225,1,3.622681228145225,13.041652421322810,-0.006950817299179,10.670006900316874,11.636332972947626,15.446372329457803,0.163667808237032,-0.013312455638674,2.537853706340357,0.099999999999966,25.439978220283379,29.600559989765326,1.163545020890179,3,3,3,1,"c(2680104.36707539, 1250190.54081181)",1,1,1,2680104.367075385991484,1250190.540811812039465,1,running
401.699999999999989,2024-04-06T08:07:57Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,1.154017914612065,1,1.154017914612065,4.154464492603435,-2.468663313533160,10.976728480236988,11.624322568248948,15.446372329457803,0.085200438866698,0.007819916838138,2.537853706340357,0.099999999999966,25.587370306754654,30.045854224677228,1.174245491602770,2,2,2,3,"c(2680107.41357078, 1250188.58053502)",2,1,1,2680107.413570779841393,1250188.580535021377727,2,running
401.699999999999989,2024-04-06T08:07:58Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.691871620952423,1,3.691871620952423,13.290737835428722,2.537853706340357,11.198742052226239,11.737695561332236,15.446372329457803,0.061670436663681,0.042648638444239,2.537853706340357,0.099999999999966,24.797487021719299,29.927719512508563,1.206885176965548,3,3,3,1,"c(2680108.54886574, 1250188.37350195)",1,1,1,2680108.548865743912756,1250188.373501952039078,1,running
