elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y
405.4,2024-05-20T13:24:31Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.310808801587218,1,6.310808801587218,22.718911685713984,0.02649783400357464,22.84497943822147,16.599398555770367,23.652026510781422,-0.04156872086453218,-0.0101235225520911,0.24403519546501773,0.19999999999998863,57.882270174251516,63.678831787074685,1.1001439921995617,1,1,"c(2681158.4627948, 1249311.1183358)",3,1,1,2681158.4627948045,1249311.1183358028
405.4,2024-05-20T13:24:32Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.533341544394585,1,6.533341544394585,23.520029559820504,0.2225327428073669,23.01745059470129,16.225947700831934,23.94816210824532,0.04790865457772804,-0.010767459520230905,0.9554194210710927,0.19999999999998863,57.21979238963163,63.96179179196467,1.1178263520500769,1,1,"c(2681152.32621317, 1249312.59097749)",3,1,1,2681152.326213167,1249312.5909774895
405.4,2024-05-20T13:24:33Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.333459896107727,1,6.333459896107727,22.80045562598782,-0.1998816482868575,25.038093274550807,15.479415422277045,45.156575568986035,0.5612896332915324,-0.11440118830258081,5.891225961316865,0.19999999999998863,57.39361531106716,70.02032286454758,1.220001954660724,1,1,"c(2681145.89221462, 1249313.72597281)",3,1,1,2681145.8922146163,1249313.725972813
405.5,2024-05-20T13:24:34Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.541800385073334,1,6.541800385073334,23.550481386264003,0.2083404889656073,25.023974967301463,15.297885494091405,45.156575568986035,-0.003921752013706562,-0.036895285698876186,5.891225961316865,0.19999999999998863,63.38034367927507,69.89213836931518,1.1027415490675134,1,1,"c(2681139.6831871, 1249314.97524923)",3,1,1,2681139.6831871015,1249314.9752492341
405.5,2024-05-20T13:24:35Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.553985608578254,1,6.553985608578254,23.594348190881718,0.012185223504920017,24.878418744268846,15.130907697068134,45.156575568986035,-0.040432284175727175,-0.03535688248043115,5.891225961316865,0.19999999999998863,63.5278838603713,69.73307963990449,1.0976767271702559,1,1,"c(2681133.46350509, 1249317.00273733)",3,1,1,2681133.463505093,1249317.002737333
405.5,2024-05-20T13:24:36Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,5.696847831219274,1,5.696847831219274,20.508652192389388,-0.8571377773589806,24.954371229324842,14.792204024562176,45.156575568986035,0.021097912515554495,-0.08305851455895491,5.891225961316865,0.19999999999998863,63.26654673888274,69.93865884357201,1.1054603490882282,1,1,"c(2681126.95858524, 1249317.80320285)",3,1,1,2681126.958585239,1249317.8032028542
405.5,2024-05-20T13:24:37Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.6522672522903665,1,6.6522672522903665,23.94816210824532,0.9554194210710927,24.577340479119687,14.397537675652668,45.156575568986035,-0.10473076394587567,-0.09860370244882984,5.891225961316865,0.19999999999998863,63.043601139376,68.56408769736001,1.0875661678300925,1,1,"c(2681121.35658641, 1249318.83842474)",3,1,1,2681121.3565864116,1249318.8384247385
405.5,2024-05-20T13:24:38Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,12.543493213607231,1,12.543493213607231,45.156575568986035,5.891225961316865,23.574589211348744,14.041656269132643,45.156575568986035,-0.2785420188252618,-0.08783010734064024,5.891225961316865,0.19999999999998863,61.881191650846695,65.70000713856899,1.0617120547592112,1,1,"c(2681114.84405985, 1249320.19476443)",1,1,1,2681114.844059848,1249320.1947644295
405.4,2024-05-20T13:24:39Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.441822868873549,1,6.441822868873549,23.19056232794478,-6.101670344733682,21.962949529987124,13.657321107340488,45.156575568986035,-0.4476776892671173,-0.0957339282495653,5.891225961316865,0.0999999999999659,58.80547527044334,60.567212067665096,1.0299587204953216,1,1,"c(2681102.57550696, 1249322.80662816)",2,1,1,2681102.5755069638,1249322.806628155
405.4,2024-05-20T13:24:40Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.125252238172951,1,6.125252238172951,22.050908057422625,-0.316570630700598,20.38497070577453,13.327029355358828,45.156575568986035,-0.43832745117016464,-0.08072186996887241,5.891225961316865,0,53.15934415345889,55.733424881288364,1.0484219805345734,2,3,"c(2681096.36041163, 1249324.50063876)",3,1,1,2681096.360411634,1249324.5006387567
405.4,2024-05-20T13:24:41Z,Fahrt am Nachmittag,cycling,/11455763627.gpx,2024,3,6.5163880052547425,1,6.5163880052547425,23.458996818917072,0.3911357670817912,18.362772312829982,12.9762132975484,45.156575568986035,-0.5005784872897259,-0.08642306603241884,5.891225961316865,0,49.22521557424074,50.78666919923113,1.0317206051162016,2,3,"c(2681090.66618977, 1249326.75775025)",3,1,1,2681090.6661897665,1249326.757750252
